sid,impd,date,spp,tl,w,sex,age,recap,structure
87832,SGCA,6/8/2021,Flathead Catfish,1200,23120,M,12,,Y
87822,SGCA,6/8/2021,Flathead Catfish,1148,22380,M,13,,Y
87821,SGCA,6/8/2021,Flathead Catfish,1131,20920,M,11,,Y
87813,SGCA,6/8/2021,Flathead Catfish,1063,18000,M,8,,Y
87832,SGCA,6/8/2021,Flathead Catfish,1058,23080,M,13,,Y
87815,SGCA,6/8/2021,Flathead Catfish,1056,22400,M,21,,Y
87832,SGCA,6/8/2021,Flathead Catfish,1022,17700,M,7,,Y
87832,SGCA,6/8/2021,Flathead Catfish,990,16510,F,14,,Y
87817,SGCA,6/8/2021,Flathead Catfish,981,15100,M,10,,Y
87811,SGCA,6/8/2021,Flathead Catfish,961,15300,M,9,,Y
87821,SGCA,6/8/2021,Flathead Catfish,957,14940,F,8,,Y
87832,SGCA,6/8/2021,Flathead Catfish,899,11350,M,10,,Y
87815,SGCA,6/8/2021,Flathead Catfish,872,10100,M,9,,Y
87621,MGSL,6/8/2021,Flathead Catfish,848,12000,M,8,,Y
87815,SGCA,6/8/2021,Flathead Catfish,833,9010,F,16,,Y
87821,SGCA,6/8/2021,Flathead Catfish,821,8250,F,7,,Y
87811,SGCA,6/8/2021,Flathead Catfish,814,7330,F,10,,Y
87622,MGSL,6/8/2021,Flathead Catfish,810,10000,M,10,,Y
87825,SGCA,6/8/2021,Flathead Catfish,807,7830,F,9,,Y
87832,SGCA,6/8/2021,Flathead Catfish,805,7060,F,10,,Y
87815,SGCA,6/8/2021,Flathead Catfish,795,6890,M,7,,Y
87821,SGCA,6/8/2021,Flathead Catfish,764,5780,F,5,,Y
87832,SGCA,6/8/2021,Flathead Catfish,757,6040,F,10,,Y
87832,SGCA,6/8/2021,Flathead Catfish,756,6610,M,7,,Y
87832,SGCA,6/8/2021,Flathead Catfish,751,6080,F,7,,Y
87815,SGCA,6/8/2021,Flathead Catfish,749,5340,F,4,,Y
87822,SGCA,6/8/2021,Flathead Catfish,738,4670,M,8,,Y
87815,SGCA,6/8/2021,Flathead Catfish,726,5432,F,6,,Y
87829,SGCA,6/8/2021,Flathead Catfish,712,4850,F,10,,Y
87829,SGCA,6/8/2021,Flathead Catfish,710,4420,M,5,,Y
87619,MGSL,6/8/2021,Flathead Catfish,708,4562,M,7,,Y
87832,SGCA,6/8/2021,Flathead Catfish,638,2840,M,5,,Y
87832,SGCA,6/8/2021,Flathead Catfish,556,1910,M,2,,Y
87620,MGSL,6/8/2021,Flathead Catfish,446,1002,F,2,,Y
88211,LVSL,6/9/2021,Flathead Catfish,980,14500,F,12,,Y
88207,LVSL,6/9/2021,Flathead Catfish,980,12500,F,13,,Y
88202,LVSL,6/9/2021,Flathead Catfish,870,9750,M,17,,Y
88209,LVSL,6/9/2021,Flathead Catfish,795,7250,F,12,,Y
88202,LVSL,6/9/2021,Flathead Catfish,783,7040,M,11,,Y
88206,LVSL,6/9/2021,Flathead Catfish,773,6377,M,10,,Y
88208,LVSL,6/9/2021,Flathead Catfish,742,5550,F,7,,Y
88207,LVSL,6/9/2021,Flathead Catfish,689,4262,M,6,,Y
88206,LVSL,6/9/2021,Flathead Catfish,635,3080,M,6,,Y
87628,NOSL,6/9/2021,Flathead Catfish,585,2453,M,5,,Y
88208,LVSL,6/9/2021,Flathead Catfish,573,2287,F,6,,Y
87632,NOSL,6/9/2021,Flathead Catfish,563,2165,M,5,,Y
88210,LVSL,6/9/2021,Flathead Catfish,563,2204,F,6,,Y
87628,NOSL,6/9/2021,Flathead Catfish,534,1921,M,5,,Y
88205,LVSL,6/9/2021,Flathead Catfish,513,1530,M,6,,Y
87632,NOSL,6/9/2021,Flathead Catfish,507,1552,F,3,,Y
87628,NOSL,6/9/2021,Flathead Catfish,502,1583,M,2,,Y
87628,NOSL,6/9/2021,Flathead Catfish,462,1223,M,2,,Y
87628,NOSL,6/9/2021,Flathead Catfish,460,1008,M,4,,Y
87628,NOSL,6/9/2021,Flathead Catfish,455,1061,M,3,,Y
87628,NOSL,6/9/2021,Flathead Catfish,452,1075,M,5,,Y
87628,NOSL,6/9/2021,Flathead Catfish,400,723,M,2,,Y
88209,LVSL,6/9/2021,Flathead Catfish,388,564,M,4,,Y
88210,LVSL,6/9/2021,Flathead Catfish,385,575,M,5,,Y
87628,NOSL,6/9/2021,Flathead Catfish,380,585,F,4,,Y
88205,LVSL,6/9/2021,Flathead Catfish,343,373,F,3,,Y
88207,LVSL,6/9/2021,Flathead Catfish,271,190,U,2,,Y
87654,CRSL,6/10/2021,Flathead Catfish,705,4580,F,9,,Y
87650,CRSL,6/10/2021,Flathead Catfish,672,4148,M,12,,Y
87653,CRSL,6/10/2021,Flathead Catfish,660,4115,F,6,,Y
87647,CRSL,6/10/2021,Flathead Catfish,653,4008,F,10,,Y
87648,CRSL,6/10/2021,Flathead Catfish,529,1754,F,7,,Y
87646,CRSL,6/10/2021,Flathead Catfish,396,595,F,4,,Y
87646,CRSL,6/10/2021,Flathead Catfish,389,535,F,8,,Y
87646,CRSL,6/10/2021,Flathead Catfish,388,612,F,4,,Y
87655,CRSL,6/10/2021,Flathead Catfish,308,260,F,7,,Y
87654,CRSL,6/10/2021,Flathead Catfish,286,236,M,3,,Y
87649,CRSL,6/10/2021,Flathead Catfish,272,189,F,4,,Y
87649,CRSL,6/10/2021,Flathead Catfish,260,152,M,4,,Y
87648,CRSL,6/10/2021,Flathead Catfish,241,143,F,4,,Y
87647,CRSL,6/10/2021,Flathead Catfish,240,132,F,5,,Y
87647,CRSL,6/10/2021,Flathead Catfish,228,115,M,4,,Y
87648,CRSL,6/10/2021,Flathead Catfish,213,101,F,5,,Y
87649,CRSL,6/10/2021,Flathead Catfish,212,85,M,3,,Y
87646,CRSL,6/10/2021,Flathead Catfish,202,80,U,3,,Y
87654,CRSL,6/10/2021,Flathead Catfish,196,79,M,3,,Y
87652,CRSL,6/10/2021,Flathead Catfish,156,39,M,1,,Y
87666,WLSL,6/11/2021,Flathead Catfish,1142,26000,M,10,,Y
87663,WLSL,6/11/2021,Flathead Catfish,930,14000,M,14,,Y
87972,MCLA,6/11/2021,Flathead Catfish,896,11000,M,10,,Y
87662,WLSL,6/11/2021,Flathead Catfish,844,11000,M,11,,Y
87662,WLSL,6/11/2021,Flathead Catfish,818,10000,F,12,,Y
87969,MCLA,6/11/2021,Flathead Catfish,816,8000,M,9,,Y
87665,WLSL,6/11/2021,Flathead Catfish,792,7835,M,11,,Y
87669,WLSL,6/11/2021,Flathead Catfish,724,5456,M,11,,Y
87971,MCLA,6/11/2021,Flathead Catfish,712,5000,M,12,,Y
87972,MCLA,6/11/2021,Flathead Catfish,680,4565,F,13,,Y
87669,WLSL,6/11/2021,Flathead Catfish,664,4026,M,8,,Y
87662,WLSL,6/11/2021,Flathead Catfish,663,5000,F,8,,Y
87669,WLSL,6/11/2021,Flathead Catfish,645,3563,M,7,,Y
87672,WLSL,6/11/2021,Flathead Catfish,555,2078,M,9,,Y
87971,MCLA,6/11/2021,Flathead Catfish,539,1990,M,10,,Y
87670,WLSL,6/11/2021,Flathead Catfish,538,1783,M,6,,Y
87668,WLSL,6/11/2021,Flathead Catfish,506,1441,M,6,,Y
87974,MCLA,6/11/2021,Flathead Catfish,468,1205,M,3,,Y
87670,WLSL,6/11/2021,Flathead Catfish,466,1138,M,6,,Y
87672,WLSL,6/11/2021,Flathead Catfish,437,953,F,4,,Y
87668,WLSL,6/11/2021,Flathead Catfish,428,848,M,5,,Y
87975,MCLA,6/11/2021,Flathead Catfish,428,842,M,10,,Y
87971,MCLA,6/11/2021,Flathead Catfish,421,896,M,10,,Y
87667,WLSL,6/11/2021,Flathead Catfish,398,646,F,4,,Y
87667,WLSL,6/11/2021,Flathead Catfish,388,582,F,4,,Y
87667,WLSL,6/11/2021,Flathead Catfish,346,419,F,2,,Y
87668,WLSL,6/11/2021,Flathead Catfish,308,267,F,5,,Y
87670,WLSL,6/11/2021,Flathead Catfish,306,308,F,5,,Y
87667,WLSL,6/11/2021,Flathead Catfish,284,218,F,5,,Y
87971,MCLA,6/11/2021,Flathead Catfish,281,190,U,7,,Y
87669,WLSL,6/11/2021,Flathead Catfish,255,168,F,3,,Y
87970,MCLA,6/11/2021,Flathead Catfish,218,103,U,2,,Y
87971,MCLA,6/11/2021,Flathead Catfish,217,98,M,3,,Y
87669,WLSL,6/11/2021,Flathead Catfish,203,106,U,3,,Y
87671,WLSL,6/11/2021,Flathead Catfish,202,98,F,2,,Y
87669,WLSL,6/11/2021,Flathead Catfish,190,77,M,2,,Y
87665,WLSL,6/11/2021,Flathead Catfish,184,67,M,6,,Y
87857,SGCA,6/14/2021,Flathead Catfish,1080,21000,M,8,,Y
87861,SGCA,6/14/2021,Flathead Catfish,1067,25000,M,10,,Y
87861,SGCA,6/14/2021,Flathead Catfish,1041,21500,M,11,,Y
87861,SGCA,6/14/2021,Flathead Catfish,940,13500,F,8,,Y
87684,NOSL,6/14/2021,Flathead Catfish,912,10000,U,12,,Y
87856,SGCA,6/14/2021,Flathead Catfish,912,12000,F,8,,Y
87861,SGCA,6/14/2021,Flathead Catfish,780,7100,F,5,,Y
87867,SGCA,6/14/2021,Flathead Catfish,745,4750,F,7,,Y
87865,SGCA,6/14/2021,Flathead Catfish,692,5000,F,8,,Y
87684,NOSL,6/14/2021,Flathead Catfish,496,1362,M,3,,Y
87684,NOSL,6/14/2021,Flathead Catfish,490,1376,M,6,,Y
87684,NOSL,6/14/2021,Flathead Catfish,433,880,M,7,,Y
87684,NOSL,6/14/2021,Flathead Catfish,424,833,F,6,,Y
87684,NOSL,6/14/2021,Flathead Catfish,404,699,F,5,,Y
87687,NOSL,6/14/2021,Flathead Catfish,403,738,F,4,,Y
87683,NOSL,6/14/2021,Flathead Catfish,382,608,M,4,,Y
87687,NOSL,6/14/2021,Flathead Catfish,283,229,F,5,,Y
87743,GESL,6/15/2021,Flathead Catfish,1050,13290,M,12,,Y
87707,CRSL,6/15/2021,Flathead Catfish,818,7683,F,13,,Y
87705,CRSL,6/15/2021,Flathead Catfish,804,6098,F,13,,Y
87701,CRSL,6/15/2021,Flathead Catfish,582,2203,F,7,,Y
87712,CRSL,6/15/2021,Flathead Catfish,572,1847,F,11,,Y
87748,GESL,6/15/2021,Flathead Catfish,545,1924,F,5,,Y
87748,GESL,6/15/2021,Flathead Catfish,514,1392,F,7,,Y
87712,CRSL,6/15/2021,Flathead Catfish,474,1216,M,3,,Y
87745,GESL,6/15/2021,Flathead Catfish,462,1007,F,6,,Y
87746,GESL,6/15/2021,Flathead Catfish,450,863,F,10,,Y
87748,GESL,6/15/2021,Flathead Catfish,429,762,F,8,,Y
87748,GESL,6/15/2021,Flathead Catfish,414,670,M,6,,Y
87748,GESL,6/15/2021,Flathead Catfish,390,630,M,7,,Y
87747,GESL,6/15/2021,Flathead Catfish,371,494,F,5,,Y
87751,GESL,6/15/2021,Flathead Catfish,360,413,M,6,,Y
87745,GESL,6/15/2021,Flathead Catfish,339,335,M,4,,Y
87750,GESL,6/15/2021,Flathead Catfish,318,300,M,5,,Y
87748,GESL,6/15/2021,Flathead Catfish,304,285,F,6,,Y
87712,CRSL,6/15/2021,Flathead Catfish,289,259,M,5,,Y
87747,GESL,6/15/2021,Flathead Catfish,281,227,F,5,,Y
87707,CRSL,6/15/2021,Flathead Catfish,278,182,F,3,,Y
87711,CRSL,6/15/2021,Flathead Catfish,274,188,F,3,,Y
87749,GESL,6/15/2021,Flathead Catfish,260,165,U,3,,Y
87700,CRSL,6/15/2021,Flathead Catfish,257,157,M,5,,Y
87750,GESL,6/15/2021,Flathead Catfish,251,136,M,3,,Y
87712,CRSL,6/15/2021,Flathead Catfish,248,164,M,4,,Y
87751,GESL,6/15/2021,Flathead Catfish,244,131,U,3,,Y
87751,GESL,6/15/2021,Flathead Catfish,239,127,U,4,,Y
87700,CRSL,6/15/2021,Flathead Catfish,238,118,M,4,,Y
87701,CRSL,6/15/2021,Flathead Catfish,232,127,F,3,,Y
87706,CRSL,6/15/2021,Flathead Catfish,212,114,F,3,,Y
87748,GESL,6/15/2021,Flathead Catfish,208,,F,3,,Y
87885,WLSL,6/17/2021,Flathead Catfish,1023,19000,M,11,,Y
87892,WLSL,6/17/2021,Flathead Catfish,862,,F,11,,Y
87891,WLSL,6/17/2021,Flathead Catfish,830,7859,M,10,,Y
87883,WLSL,6/17/2021,Flathead Catfish,828,8000,F,11,,Y
87892,WLSL,6/17/2021,Flathead Catfish,704,4918,F,9,,Y
88213,LVSL,6/17/2021,Flathead Catfish,704,4636,M,5,,Y
87888,WLSL,6/17/2021,Flathead Catfish,698,4828,M,11,,Y
87889,WLSL,6/17/2021,Flathead Catfish,682,4482,F,10,,Y
88224,LVSL,6/17/2021,Flathead Catfish,650,3355,M,4,,Y
88218,LVSL,6/17/2021,Flathead Catfish,576,2135,F,3,,Y
88222,LVSL,6/17/2021,Flathead Catfish,560,1960,M,5,,Y
88213,LVSL,6/17/2021,Flathead Catfish,552,1967,M,5,,Y
87890,WLSL,6/17/2021,Flathead Catfish,502,1346,F,6,,Y
87884,WLSL,6/17/2021,Flathead Catfish,470,1135,F,5,,Y
87883,WLSL,6/17/2021,Flathead Catfish,458,1076,F,4,,Y
87888,WLSL,6/17/2021,Flathead Catfish,442,883,M,5,,Y
88216,LVSL,6/17/2021,Flathead Catfish,435,845,F,6,,Y
87884,WLSL,6/17/2021,Flathead Catfish,428,903,F,4,,Y
87892,WLSL,6/17/2021,Flathead Catfish,425,851,F,4,,Y
87891,WLSL,6/17/2021,Flathead Catfish,422,805,F,4,,Y
87883,WLSL,6/17/2021,Flathead Catfish,417,715,M,6,,Y
87888,WLSL,6/17/2021,Flathead Catfish,407,826,M,6,,Y
87882,WLSL,6/17/2021,Flathead Catfish,404,732,F,6,,Y
88216,LVSL,6/17/2021,Flathead Catfish,382,506,M,4,,Y
88222,LVSL,6/17/2021,Flathead Catfish,349,436,M,3,,Y
87888,WLSL,6/17/2021,Flathead Catfish,318,372,M,5,,Y
87892,WLSL,6/17/2021,Flathead Catfish,314,323,M,4,,Y
87892,WLSL,6/17/2021,Flathead Catfish,310,292,M,4,,Y
87883,WLSL,6/17/2021,Flathead Catfish,301,281,F,5,,Y
87892,WLSL,6/17/2021,Flathead Catfish,285,236,F,5,,Y
87884,WLSL,6/17/2021,Flathead Catfish,278,216,F,3,,Y
87888,WLSL,6/17/2021,Flathead Catfish,240,150,F,5,,Y
87892,WLSL,6/17/2021,Flathead Catfish,237,124,M,3,,Y
87892,WLSL,6/17/2021,Flathead Catfish,194,62,M,2,,Y
88212,LVSL,6/17/2021,Flathead Catfish,190,64,U,1,,Y
87892,WLSL,6/17/2021,Flathead Catfish,164,27,U,2,,Y
88163,SGCA,6/22/2021,Flathead Catfish,1080,22500,M,10,,Y
88166,SGCA,6/22/2021,Flathead Catfish,1016,22000,M,9,,Y
88163,SGCA,6/22/2021,Flathead Catfish,1010,20000,F,11,,Y
88163,SGCA,6/22/2021,Flathead Catfish,972,18500,M,8,,Y
88163,SGCA,6/22/2021,Flathead Catfish,965,14500,F,11,,Y
88159,SGCA,6/22/2021,Flathead Catfish,927,10500,M,7,,Y
88155,SGCA,6/22/2021,Flathead Catfish,927,14750,F,14,,Y
88156,SGCA,6/22/2021,Flathead Catfish,915,12000,M,10,,Y
88166,SGCA,6/22/2021,Flathead Catfish,832,10000,M,8,,Y
87951,MGSL,6/22/2021,Flathead Catfish,794,7145,M,9,,Y
88168,SGCA,6/22/2021,Flathead Catfish,781,6000,F,9,,Y
88163,SGCA,6/22/2021,Flathead Catfish,768,7500,F,9,,Y
88156,SGCA,6/22/2021,Flathead Catfish,737,5700,F,9,,Y
88155,SGCA,6/22/2021,Flathead Catfish,737,5500,F,6,,Y
87951,MGSL,6/22/2021,Flathead Catfish,728,5072,M,4,,Y
88155,SGCA,6/22/2021,Flathead Catfish,711,5000,M,6,,Y
88168,SGCA,6/22/2021,Flathead Catfish,667,3000,F,5,,Y
87985,MCLA,6/22/2021,Flathead Catfish,524,1732,F,6,,Y
87965,NOSL,6/22/2021,Flathead Catfish,482,1268,M,4,,Y
87962,NOSL,6/22/2021,Flathead Catfish,482,1243,F,5,,Y
87980,MCLA,6/22/2021,Flathead Catfish,469,1088,F,7,,Y
87980,MCLA,6/22/2021,Flathead Catfish,430,777,F,7,,Y
87960,NOSL,6/22/2021,Flathead Catfish,481,1286,F,3,,Y
87962,NOSL,6/22/2021,Flathead Catfish,354,418,M,2,,Y
87982,MCLA,6/22/2021,Flathead Catfish,297,223,M,4,,Y
87980,MCLA,6/22/2021,Flathead Catfish,174,53,U,2,,Y
88200,LVSL,6/23/2021,Flathead Catfish,805,7500,F,11,,Y
88199,LVSL,6/23/2021,Flathead Catfish,613,2399,M,6,,Y
87944,GESL,6/23/2021,Flathead Catfish,540,2043,M,9,,Y
87950,GESL,6/23/2021,Flathead Catfish,534,1691,M,11,,Y
87944,GESL,6/23/2021,Flathead Catfish,524,1642,M,9,,Y
88193,LVSL,6/23/2021,Flathead Catfish,520,1610,F,5,,Y
87950,GESL,6/23/2021,Flathead Catfish,496,1380,F,6,,Y
88197,LVSL,6/23/2021,Flathead Catfish,487,1080,F,5,,Y
87950,GESL,6/23/2021,Flathead Catfish,459,1027,M,5,,Y
87948,GESL,6/23/2021,Flathead Catfish,421,739,M,6,,Y
87948,GESL,6/23/2021,Flathead Catfish,386,563,M,4,,Y
87946,GESL,6/23/2021,Flathead Catfish,318,312,U,4,,Y
87950,GESL,6/23/2021,Flathead Catfish,307,318,M,5,,Y
88195,LVSL,6/23/2021,Flathead Catfish,299,244,M,3,,Y
87947,GESL,6/23/2021,Flathead Catfish,296,236,M,5,,Y
87946,GESL,6/23/2021,Flathead Catfish,267,171,U,3,,Y
87945,GESL,6/23/2021,Flathead Catfish,245,180,U,4,,Y
88199,LVSL,6/23/2021,Flathead Catfish,206,66,U,1,,Y
88064,CRSL,6/29/2021,Flathead Catfish,362,589,F,12,,Y
88055,CRSL,6/29/2021,Flathead Catfish,454,982,M,6,,Y
88055,CRSL,6/29/2021,Flathead Catfish,330,377,F,4,,Y
88055,CRSL,6/29/2021,Flathead Catfish,288,246,M,6,,Y
88061,CRSL,6/29/2021,Flathead Catfish,268,202,F,2,,Y
88064,CRSL,6/29/2021,Flathead Catfish,240,127,F,3,,Y
88059,CRSL,6/29/2021,Flathead Catfish,208,81,U,2,,Y
88057,CRSL,6/29/2021,Flathead Catfish,206,80,U,4,,Y
