sid,impd,date,spp,tl,w,sex,age,recap,structure
89073,WLSL,8/18/2021,Flathead Catfish,174,46,U,2,,Y
89171,SGCA,8/19/2021,Flathead Catfish,920,12900,F,11,,Y
89171,SGCA,8/19/2021,Flathead Catfish,904,11300,F,8,,Y
89173,SGCA,8/19/2021,Flathead Catfish,617,2793,F,3,,Y
89151,CRSL,8/23/2021,Flathead Catfish,683,3295,M,9,,Y
89153,CRSL,8/23/2021,Flathead Catfish,628,2268,F,11,,Y
89155,CRSL,8/23/2021,Flathead Catfish,596,2426,M,10,,Y
89156,CRSL,8/23/2021,Flathead Catfish,346,370,M,4,,Y
89152,CRSL,8/23/2021,Flathead Catfish,307,278,F,4,,Y
89150,CRSL,8/23/2021,Flathead Catfish,273,187,F,3,,Y
89154,CRSL,8/23/2021,Flathead Catfish,268,158,M,4,,Y
89247,MCLA,8/24/2021,Flathead Catfish,706,3830,F,8,,Y
89254,MCLA,8/24/2021,Flathead Catfish,477,1116,M,6,,Y
89248,MCLA,8/24/2021,Flathead Catfish,404,569,F,8,,Y
89186,GESL,8/25/2021,Flathead Catfish,675,3320,F,9,,Y
89182,GESL,8/25/2021,Flathead Catfish,494,1095,M,6,,Y
89186,GESL,8/25/2021,Flathead Catfish,420,653,F,4,,Y
89183,GESL,8/25/2021,Flathead Catfish,415,699,M,8,,Y
89184,GESL,8/25/2021,Flathead Catfish,392,610,M,5,,Y
89183,GESL,8/25/2021,Flathead Catfish,391,610,F,4,,Y
89185,GESL,8/25/2021,Flathead Catfish,360,460,F,4,,Y
89177,GESL,8/25/2021,Flathead Catfish,346,411,M,3,,Y
89184,GESL,8/25/2021,Flathead Catfish,325,290,M,4,,Y
89186,GESL,8/25/2021,Flathead Catfish,320,260,M,4,,Y
89185,GESL,8/25/2021,Flathead Catfish,310,375,F,7,,Y
89185,GESL,8/25/2021,Flathead Catfish,275,180,M,4,,Y
89221,LVSL,8/26/2021,Flathead Catfish,710,3679,M,5,,Y
89225,LVSL,8/26/2021,Flathead Catfish,688,3454,M,4,,Y
89220,LVSL,8/26/2021,Flathead Catfish,544,1412,F,5,,Y
89224,LVSL,8/26/2021,Flathead Catfish,528,1400,M,5,,Y
89222,LVSL,8/26/2021,Flathead Catfish,479,1000,F,6,,Y
89221,LVSL,8/26/2021,Flathead Catfish,246,114,U,1,,Y
89228,LVSL,8/26/2021,Flathead Catfish,235,101,U,1,,Y
89258,MCLA,9/2/2021,Flathead Catfish,716,4278,M,13,,Y
89261,MCLA,9/2/2021,Flathead Catfish,356,428,M,4,,Y
87832,SGCA,6/8/2021,Flathead Catfish,1173,25120,F,,,Y
87821,SGCA,6/8/2021,Flathead Catfish,1018,17760,F,,,N
87617,MGSL,6/8/2021,Flathead Catfish,971,14000,F,,,Y
87821,SGCA,6/8/2021,Flathead Catfish,959,17060,F,,,Y
87822,SGCA,6/8/2021,Flathead Catfish,941,14360,F,,,Y
87815,SGCA,6/8/2021,Flathead Catfish,900,12570,F,,,Y
87618,MGSL,6/8/2021,Flathead Catfish,760,5775,F,,,Y
87628,NOSL,6/9/2021,Flathead Catfish,528,2048,M,,,Y
88209,LVSL,6/9/2021,Flathead Catfish,194,63,U,,,Y
87649,CRSL,6/10/2021,Flathead Catfish,654,3772,F,,,Y
87653,CRSL,6/10/2021,Flathead Catfish,623,3168,F,,,Y
87666,WLSL,6/11/2021,Flathead Catfish,1047,22000,M,,,Y
87663,WLSL,6/11/2021,Flathead Catfish,992,16000,F,,,Y
87670,WLSL,6/11/2021,Flathead Catfish,978,19000,F,,,Y
87663,WLSL,6/11/2021,Flathead Catfish,972,18000,F,,,Y
87666,WLSL,6/11/2021,Flathead Catfish,891,14000,F,,,Y
87662,WLSL,6/11/2021,Flathead Catfish,876,12000,F,,,Y
87666,WLSL,6/11/2021,Flathead Catfish,858,12000,F,,,Y
87662,WLSL,6/11/2021,Flathead Catfish,754,8000,M,,,Y
87668,WLSL,6/11/2021,Flathead Catfish,736,6628,F,,,Y
87666,WLSL,6/11/2021,Flathead Catfish,704,6000,F,,,Y
87665,WLSL,6/11/2021,Flathead Catfish,468,1148,F,,,Y
87668,WLSL,6/11/2021,Flathead Catfish,284,254,F,,,Y
87677,MGSL,6/14/2021,Flathead Catfish,1046,20000,M,,,Y
87857,SGCA,6/14/2021,Flathead Catfish,1009,17500,F,,,Y
87679,MGSL,6/14/2021,Flathead Catfish,912,10000,F,,,Y
87861,SGCA,6/14/2021,Flathead Catfish,890,12500,M,,1,N
87676,MGSL,6/14/2021,Flathead Catfish,864,11000,F,,,Y
87684,NOSL,6/14/2021,Flathead Catfish,454,1046,M,,1,N
87701,CRSL,6/15/2021,Flathead Catfish,758,5081,F,,,Y
87712,CRSL,6/15/2021,Flathead Catfish,696,4686,F,,,Y
87712,CRSL,6/15/2021,Flathead Catfish,686,4473,F,,,Y
87708,CRSL,6/15/2021,Flathead Catfish,628,3098,F,,1,N
87750,GESL,6/15/2021,Flathead Catfish,340,349,F,,,Y
87704,CRSL,6/15/2021,Flathead Catfish,226,104,F,,1,N
87883,WLSL,6/17/2021,Flathead Catfish,1026,20000,M,,,Y
87887,WLSL,6/17/2021,Flathead Catfish,1012,,M,,,Y
87886,WLSL,6/17/2021,Flathead Catfish,1010,,F,,1,N
87887,WLSL,6/17/2021,Flathead Catfish,937,,F,,,Y
87892,WLSL,6/17/2021,Flathead Catfish,922,10056,F,,,Y
87885,WLSL,6/17/2021,Flathead Catfish,903,11000,F,,,Y
87889,WLSL,6/17/2021,Flathead Catfish,880,9248,F,,,Y
87889,WLSL,6/17/2021,Flathead Catfish,833,9236,F,,,Y
87886,WLSL,6/17/2021,Flathead Catfish,828,9223,M,,1,N
87885,WLSL,6/17/2021,Flathead Catfish,815,7000,F,,1,N
87890,WLSL,6/17/2021,Flathead Catfish,815,7274,F,,,Y
87883,WLSL,6/17/2021,Flathead Catfish,765,6975,F,,,Y
87885,WLSL,6/17/2021,Flathead Catfish,670,4278,F,,1,N
87885,WLSL,6/17/2021,Flathead Catfish,663,4059,F,,,Y
88222,LVSL,6/17/2021,Flathead Catfish,575,2401,F,,1,N
87884,WLSL,6/17/2021,Flathead Catfish,532,1653,M,,1,N
87884,WLSL,6/17/2021,Flathead Catfish,473,1068,M,,1,N
87892,WLSL,6/17/2021,Flathead Catfish,422,777,M,,1,N
88218,LVSL,6/17/2021,Flathead Catfish,395,534,F,,,Y
88212,LVSL,6/17/2021,Flathead Catfish,222,89,U,,,Y
87882,WLSL,6/17/2021,Flathead Catfish,218,96,F,,1,N
87884,WLSL,6/17/2021,Flathead Catfish,182,51,U,,,Y
88156,SGCA,6/22/2021,Flathead Catfish,907,11500,F,,1,N
88167,SGCA,6/22/2021,Flathead Catfish,724,4500,M,,1,N
88165,SGCA,6/22/2021,Flathead Catfish,718,5500,F,,,Y
87962,NOSL,6/22/2021,Flathead Catfish,616,2676,M,,,Y
88200,LVSL,6/23/2021,Flathead Catfish,704,4170,M,,1,N
88061,CRSL,6/29/2021,Flathead Catfish,634,2946,F,,1,N
88040,GESL,6/30/2021,Flathead Catfish,534,1433,M,,1,N
88040,GESL,6/30/2021,Flathead Catfish,407,620,M,,1,N
88041,GESL,6/30/2021,Flathead Catfish,273,184,M,,1,N
88096,WLSL,7/2/2021,Flathead Catfish,1010,19050,F,,,Y
88098,WLSL,7/2/2021,Flathead Catfish,894,7934,M,,,Y
88097,WLSL,7/2/2021,Flathead Catfish,870,9792,F,,,Y
88092,WLSL,7/2/2021,Flathead Catfish,823,7923,F,,1,N
88101,WLSL,7/2/2021,Flathead Catfish,700,5206,M,,,Y
88101,WLSL,7/2/2021,Flathead Catfish,317,374,M,,1,N
88101,WLSL,7/2/2021,Flathead Catfish,312,258,M,,1,N
88102,WLSL,7/2/2021,Flathead Catfish,234,134,U,,1,N
88185,SGCA,7/6/2021,Flathead Catfish,1120,21000,M,,1,N
88185,SGCA,7/6/2021,Flathead Catfish,1109,21400,M,,1,N
88114,MGSL,7/6/2021,Flathead Catfish,818,6996,F,,,Y
88178,SGCA,7/6/2021,Flathead Catfish,751,5210,F,,1,N
88178,SGCA,7/6/2021,Flathead Catfish,725,4830,M,,1,N
88178,SGCA,7/6/2021,Flathead Catfish,725,4830,"",,1,N
88111,MGSL,7/6/2021,Flathead Catfish,516,1396,M,,,Y
88103,NOSL,7/6/2021,Flathead Catfish,463,1106,M,,1,N
88128,GESL,7/7/2021,Flathead Catfish,855,6912,M,,,Y
88135,CRSL,7/7/2021,Flathead Catfish,724,3608,F,,,Y
88130,CRSL,7/7/2021,Flathead Catfish,333,376,F,,,Y
88130,CRSL,7/7/2021,Flathead Catfish,284,263,M,,1,N
88126,GESL,7/7/2021,Flathead Catfish,271,175,M,,1,N
88135,CRSL,7/7/2021,Flathead Catfish,268,168,M,,,Y
88147,WLSL,7/8/2021,Flathead Catfish,930,12700,F,,,Y
88145,WLSL,7/8/2021,Flathead Catfish,537,1878,M,,,Y
88147,WLSL,7/8/2021,Flathead Catfish,432,797,M,,1,N
88148,WLSL,7/8/2021,Flathead Catfish,427,779,F,,1,N
88147,WLSL,7/8/2021,Flathead Catfish,320,292,M,,1,N
88139,WLSL,7/8/2021,Flathead Catfish,264,177,F,,1,N
88147,WLSL,7/8/2021,Flathead Catfish,237,165,F,,1,N
88273,SGCA,7/12/2021,Flathead Catfish,974,19700,M,,1,N
88312,MGSL,7/12/2021,Flathead Catfish,818,8395,F,,1,N
88273,SGCA,7/12/2021,Flathead Catfish,715,4600,M,,1,N
88312,MGSL,7/12/2021,Flathead Catfish,700,5665,F,,,Y
88304,NOSL,7/12/2021,Flathead Catfish,502,1358,M,,1,N
88375,CRSL,7/13/2021,Flathead Catfish,338,383,M,,1,N
88363,CRSL,7/13/2021,Flathead Catfish,294,248,M,,1,N
88367,CRSL,7/13/2021,Flathead Catfish,292,227,F,,1,N
88365,CRSL,7/13/2021,Flathead Catfish,264,176,F,,1,N
88376,CRSL,7/13/2021,Flathead Catfish,240,120,F,,1,N
88836,LVSL,7/16/2021,Flathead Catfish,775,6470,F,,1,N
88843,LVSL,7/16/2021,Flathead Catfish,562,1905,F,,1,N
88838,LVSL,7/16/2021,Flathead Catfish,308,274,M,,,Y
88839,LVSL,7/16/2021,Flathead Catfish,302,228,M,,1,N
88455,WLSL,7/19/2021,Flathead Catfish,924,10886,M,,,Y
88456,WLSL,7/19/2021,Flathead Catfish,906,9978,F,,1,N
88456,WLSL,7/19/2021,Flathead Catfish,508,1416,F,,1,N
88457,WLSL,7/19/2021,Flathead Catfish,432,759,F,,1,N
88453,WLSL,7/19/2021,Flathead Catfish,414,766,F,,1,N
88457,WLSL,7/19/2021,Flathead Catfish,333,355,M,,1,N
88457,WLSL,7/19/2021,Flathead Catfish,312,285,F,,1,N
88456,WLSL,7/19/2021,Flathead Catfish,258,158,U,,,Y
88473,NOSL,7/20/2021,Flathead Catfish,342,402,F,,1,N
88473,NOSL,7/20/2021,Flathead Catfish,246,158,U,,1,N
89080,MCLA,7/20/2021,Flathead Catfish,246,126,U,,1,N
89088,MCLA,7/20/2021,Flathead Catfish,125,10,U,,,Y
88481,CRSL,7/21/2021,Flathead Catfish,294,251,M,,1,N
88484,CRSL,7/21/2021,Flathead Catfish,294,227,M,,1,N
88483,CRSL,7/21/2021,Flathead Catfish,118,18,U,,,Y
88498,GESL,7/22/2021,Flathead Catfish,1040,13630,F,,,N
88493,GESL,7/22/2021,Flathead Catfish,946,9230,F,,,N
88500,GESL,7/22/2021,Flathead Catfish,376,580,M,,,Y
88853,LVSL,7/23/2021,Flathead Catfish,571,1978,F,,1,N
88528,WLSL,7/27/2021,Flathead Catfish,1026,15422,M,,,Y
88532,WLSL,7/27/2021,Flathead Catfish,858,8678,F,,1,N
88527,WLSL,7/27/2021,Flathead Catfish,845,8653,M,,1,N
88531,WLSL,7/27/2021,Flathead Catfish,838,7108,M,,1,N
88530,WLSL,7/27/2021,Flathead Catfish,770,5780,M,,,Y
88531,WLSL,7/27/2021,Flathead Catfish,725,4752,M,,1,N
88527,WLSL,7/27/2021,Flathead Catfish,672,3944,F,,1,N
88525,WLSL,7/27/2021,Flathead Catfish,558,1901,M,,1,N
88532,WLSL,7/27/2021,Flathead Catfish,428,730,F,,1,N
88525,WLSL,7/27/2021,Flathead Catfish,423,716,M,,1,N
89090,MCLA,7/27/2021,Flathead Catfish,327,313,M,,1,N
88530,WLSL,7/27/2021,Flathead Catfish,228,120,U,,,Y
89091,MCLA,7/27/2021,Flathead Catfish,225,85,U,,1,N
88602,GESL,7/28/2021,Flathead Catfish,780,5600,M,,,N
88598,GESL,7/28/2021,Flathead Catfish,498,1313,F,,1,N
88604,GESL,7/28/2021,Flathead Catfish,482,1330,F,,1,N
88601,GESL,7/28/2021,Flathead Catfish,470,1040,F,,1,N
88604,GESL,7/28/2021,Flathead Catfish,390,584,M,,1,N
88598,GESL,7/28/2021,Flathead Catfish,359,420,M,,1,N
88604,GESL,7/28/2021,Flathead Catfish,327,370,M,,1,N
88861,LVSL,7/30/2021,Flathead Catfish,800,6250,F,,1,N
88862,LVSL,7/30/2021,Flathead Catfish,584,2015,F,,1,N
88864,LVSL,7/30/2021,Flathead Catfish,570,1843,F,,1,N
88856,LVSL,7/30/2021,Flathead Catfish,398,509,F,,1,N
88676,MGSL,8/2/2021,Flathead Catfish,818,8388,F,,1,N
88683,NOSL,8/2/2021,Flathead Catfish,387,538,F,,1,N
88694,CRSL,8/3/2021,Flathead Catfish,735,4532,F,,,Y
88693,CRSL,8/3/2021,Flathead Catfish,338,368,M,,1,N
88694,CRSL,8/3/2021,Flathead Catfish,297,232,M,,1,N
88696,CRSL,8/3/2021,Flathead Catfish,270,184,F,,,Y
88692,CRSL,8/3/2021,Flathead Catfish,260,175,M,,1,N
88696,CRSL,8/3/2021,Flathead Catfish,198,65,U,,1,N
88707,WLSL,8/4/2021,Flathead Catfish,1014,,M,,1,N
88704,WLSL,8/4/2021,Flathead Catfish,934,11732,F,,1,N
88707,WLSL,8/4/2021,Flathead Catfish,868,8922,F,,1,N
88708,WLSL,8/4/2021,Flathead Catfish,804,6448,F,,1,N
88704,WLSL,8/4/2021,Flathead Catfish,672,3616,F,,1,N
88703,WLSL,8/4/2021,Flathead Catfish,474,1138,M,,1,N
88702,WLSL,8/4/2021,Flathead Catfish,423,668,M,,1,N
88708,WLSL,8/4/2021,Flathead Catfish,390,507,F,,,Y
88703,WLSL,8/4/2021,Flathead Catfish,348,396,M,,1,N
88709,WLSL,8/4/2021,Flathead Catfish,320,326,M,,1,N
88709,WLSL,8/4/2021,Flathead Catfish,314,297,M,,1,N
88706,WLSL,8/4/2021,Flathead Catfish,208,81,U,,1,N
88709,WLSL,8/4/2021,Flathead Catfish,167,54,U,,1,N
88774,GESL,8/9/2021,Flathead Catfish,481,1081,F,,1,N
88777,GESL,8/9/2021,Flathead Catfish,345,391,M,,1,N
88773,GESL,8/9/2021,Flathead Catfish,305,228,M,,1,N
88813,SGCA,8/12/2021,Flathead Catfish,965,12500,M,,,Y
88820,MGSL,8/12/2021,Flathead Catfish,750,5526,M,,1,N
88828,NOSL,8/12/2021,Flathead Catfish,454,1042,F,,,Y
88829,NOSL,8/12/2021,Flathead Catfish,357,468,F,,,Y
88829,NOSL,8/12/2021,Flathead Catfish,327,368,F,,1,N
88874,WLSL,8/13/2021,Flathead Catfish,863,8780,M,,1,N
88867,WLSL,8/13/2021,Flathead Catfish,472,1203,M,,1,N
88867,WLSL,8/13/2021,Flathead Catfish,434,883,F,,1,N
88866,WLSL,8/13/2021,Flathead Catfish,433,890,F,,1,N
88867,WLSL,8/13/2021,Flathead Catfish,355,462,F,,1,N
88867,WLSL,8/13/2021,Flathead Catfish,317,336,F,,1,N
88873,WLSL,8/13/2021,Flathead Catfish,316,318,M,,1,N
88871,WLSL,8/13/2021,Flathead Catfish,302,250,F,,1,N
88866,WLSL,8/13/2021,Flathead Catfish,258,144,M,,1,N
88895,CRSL,8/16/2021,Flathead Catfish,717,3605,F,,1,N
88893,CRSL,8/16/2021,Flathead Catfish,377,478,F,,1,N
89042,GESL,8/17/2021,Flathead Catfish,495,1312,M,,1,N
89025,NOSL,8/17/2021,Flathead Catfish,454,876,M,,1,N
89036,GESL,8/17/2021,Flathead Catfish,420,675,M,,1,N
89015,MGSL,8/17/2021,Flathead Catfish,318,352,M,,1,N
89041,GESL,8/17/2021,Flathead Catfish,314,276,M,,1,N
89022,NOSL,8/17/2021,Flathead Catfish,84,6,U,,,Y
89071,WLSL,8/18/2021,Flathead Catfish,878,7618,M,,1,N
89145,LVSL,8/18/2021,Flathead Catfish,791,6000,M,,1,N
89070,WLSL,8/18/2021,Flathead Catfish,723,4932,F,,,Y
89071,WLSL,8/18/2021,Flathead Catfish,702,4352,M,,1,N
89069,WLSL,8/18/2021,Flathead Catfish,488,1178,M,,1,N
89069,WLSL,8/18/2021,Flathead Catfish,478,1161,M,,1,N
89071,WLSL,8/18/2021,Flathead Catfish,330,386,M,,1,N
89071,WLSL,8/18/2021,Flathead Catfish,292,278,M,,1,N
89143,LVSL,8/18/2021,Flathead Catfish,267,168,U,,1,N
89074,WLSL,8/18/2021,Flathead Catfish,187,64,U,,1,N
89068,WLSL,8/18/2021,Flathead Catfish,176,47,U,,,Y
89163,SGCA,8/19/2021,Flathead Catfish,1170,21300,M,,1,N
89170,SGCA,8/19/2021,Flathead Catfish,1035,17200,M,,1,N
89170,SGCA,8/19/2021,Flathead Catfish,958,12500,M,,1,N
89170,SGCA,8/19/2021,Flathead Catfish,929,15300,F,,1,N
89174,SGCA,8/19/2021,Flathead Catfish,726,5173,F,,,Y
89155,CRSL,8/23/2021,Flathead Catfish,272,188,M,,1,N
89153,CRSL,8/23/2021,Flathead Catfish,263,178,M,,1,N
89247,MCLA,8/24/2021,Flathead Catfish,570,2000,M,,1,N
89248,MCLA,8/24/2021,Flathead Catfish,397,545,M,,1,N
89247,MCLA,8/24/2021,Flathead Catfish,293,198,F,,1,N
89247,MCLA,8/24/2021,Flathead Catfish,277,165,F,,1,N
89184,GESL,8/25/2021,Flathead Catfish,430,745,M,,1,N
89221,LVSL,8/26/2021,Flathead Catfish,750,4800,M,,1,N
89226,LVSL,8/26/2021,Flathead Catfish,298,203,M,,1,N
89256,MCLA,9/2/2021,Flathead Catfish,463,912,M,,1,N
89256,MCLA,9/2/2021,Flathead Catfish,280,201,F,,1,N
